Timestamp,Camelina01 - Weight (g),Camelina02 - Weight (g),Camelina03 - Weight (g),Camelina04 - Weight (g),Camelina05 - Weight (g),Camelina06 - Weight (g),Camelina07 - Weight (g),Camelina08 - Weight (g),Camelina09 - Weight (g),Camelina10 - Weight (g),Camelina11 - Weight (g),Camelina12 - Weight (g),Camelina13 - Weight (g),Camelina14 - Weight (g),Camelina15 - Weight (g),Camelina16 - Weight (g),Camelina17 - Weight (g),Camelina18 - Weight (g),Camelina19 - Weight (g),Camelina20 - Weight (g),Camelina21 - Weight (g),Camelina22 - Weight (g),Camelina23 - Weight (g),Camelina24 - Weight (g),Camelina25 - Weight (g),Camelina26 - Weight (g),Camelina27 - Weight (g),Camelina28 - Weight (g),Camelina29 - Weight (g),Camelina30 - Weight (g),Camelina31 - Weight (g),Camelina32 - Weight (g),Camelina33 - Weight (g),Camelina34 - Weight (g),Camelina35 - Weight (g),Camelina36 - Weight (g),Camelina37 - Weight (g),Camelina38 - Weight (g),Camelina39 - Weight (g),Camelina40 - Weight (g),Camelina41 - Weight (g),Camelina42 - Weight (g),Camelina43 - Weight (g),Camelina44 - Weight (g),Camelina45 - Weight (g),Camelina46 - Weight (g),Camelina47 - Weight (g),Camelina48 - Weight (g),Camelina49 - Weight (g),Camelina50 - Weight (g)
2025-04-10T01:00:00,6866.32,6972.91,6798.19,6779.72,7015.03,6944.55,7063.79,6950.25,6987.97,6795.94,7008.84,6715.51,6832.82,6854.29,6986.92,6973.89,6793.69,6929.34,6788.01,6760.27,6872.54,6763.16,6873.51,6817.32,6967.34,6825.33,6816.94,7023.63,7030.78,6874.7,6971.78,7124.13,7128.69,6964.54,6979.13,6725.86,6966.58,6969.13,6860.4,7040.32,6964.43,6924.08,6679.67,6967.65,6675.39,6862.01,7053.32,6886.59,6972.06,7006.85
2025-04-10T01:03:00,6866.52,6971.85,6794.72,6778.88,7014.89,6944.95,7064.34,6950.94,6987.67,6794.9,7008.42,6714.79,6830.32,6852.87,6985.89,6972.77,6793.33,6928.91,6787.34,6760.15,6871.05,6763.21,6873.21,6817.51,6968.21,6823.6,6816.02,7021.83,7030.22,6875.38,6971.32,7124.39,7130.07,6965.36,6979.59,6727.25,6967.19,6967.76,6861.18,7040.06,6963.05,6922.74,6673.26,6961.94,6674.71,6862.7,7054.54,6885.73,6971.67,7005.84
2025-04-10T01:06:00,6866.85,6971.01,6796.11,6779.39,7011.74,6944.14,7064.49,6949.71,6986.54,6794.93,7007.33,6715.26,6828.97,6851.76,6985.3,6972.98,6792.45,6928.79,6788.14,6759.2,6870.4,6762.27,6873.6,6816.96,6967.42,6822.76,6816.52,7022.36,7029.84,6875.74,6970.6,7124.63,7129.93,6966.19,6979.77,6725.96,6967.59,6968.82,6862.39,7038.77,6962.67,6922.04,6678.32,6961.36,6675.53,6863.96,7053.79,6885.46,6971.94,7006.58
2025-04-10T01:09:00,6866.94,6971.21,6793.5,6777.84,7014.98,6943.03,7064.26,6947.53,6987.82,6794.12,7007.81,6714.31,6828.14,6854.07,6986.63,6973.56,6791.97,6927.95,6787.43,6759.2,6870.92,6761.12,6872.9,6817.59,6967.35,6824.02,6817.12,7021.17,7030.15,6874.59,6971.02,7123.24,7129,6964.85,6978.85,6725.1,6967.11,6966.41,6858.06,7038.96,6961.24,6920.86,6673.1,6966.47,6675.4,6862.22,7054.19,6886.99,6972.5,7006.24
2025-04-10T01:12:00,6867.01,6971.51,6795.63,6776.94,7012.21,6943.87,7063.34,6947.23,6987.41,6795.84,7007.92,6712.88,6828.05,6853.53,6984.98,6972.65,6792.6,6928.84,6787.2,6759.65,6871.34,6760.74,6873.18,6815.52,6966.01,6824.1,6815.08,7021.24,7030.36,6873.28,6970.27,7122.37,7127.03,6963.84,6979.45,6727.29,6966.03,6964.15,6857.42,7037.97,6962.61,6921.14,6675.64,6971.03,6675.29,6861.19,7053.43,6889.06,6971.54,7006.76
2025-04-10T01:15:00,6866.62,6971.25,6794.69,6777.56,7007.9,6943.01,7064.07,6947.42,6986.7,6794.53,7005.97,6713.13,6829.06,6852.77,6984.51,6972.42,6792.68,6927.54,6788.89,6759.89,6869.86,6758.71,6872.11,6816.3,6966.44,6821,6816.62,7021.98,7028.63,6874.8,6969.15,7124.51,7128.54,6964.37,6978.44,6724.89,6966.44,6965.26,6859.23,7037.36,6960.37,6919.78,6674.81,6964.62,6674.52,6860.79,7052.83,6886.66,6970.37,7006.14
2025-04-10T01:18:00,6866.64,6970.2,6795.28,6778.22,7010.67,6942.09,7063.98,6947.1,6986.69,6794.41,7005.87,6711.57,6827.76,6852.78,6983.89,6971.85,6792.42,6927.98,6787.66,6759.85,6869.93,6758.57,6872.36,6815.31,6965.88,6820.29,6815.11,7021.01,7030.15,6874.34,6968.13,7123.45,7127.55,6963,6978.29,6726.29,6966.32,6964.58,6858.79,7037.65,6960.48,6919.19,6677.15,6962.57,6675.39,6861.61,7052.06,6885.1,6968.93,7006.43
2025-04-10T01:21:00,6866.44,6970.26,6794.64,6777.14,7010.72,6942.1,7063.73,6946.78,6986.98,6795.54,7006.05,6711.99,6828.22,6851.95,6983.97,6971.48,6792.58,6927.33,6787.19,6759.53,6870.03,6758.64,6871.79,6814.68,6964.93,6821.75,6815.01,7020.36,7028.74,6873.95,6968.85,7122.4,7127.87,6963.28,6978.77,6725.64,6965.73,6964.14,6857.8,7036.43,6960.06,6918.61,6676.62,6966.44,6674.83,6860.68,7052.61,6887.7,6969.09,7004.93
2025-04-10T01:24:00,6865.43,6969,6791.71,6777.02,7008.88,6940.1,7066.29,6946.55,6986.16,6793.78,7006.04,6711.38,6827.38,6852.16,6983.51,6971.31,6791.32,6926.8,6788.04,6759.14,6869.54,6756.78,6871.34,6815.04,6965.48,6822.34,6816.48,7021.49,7028.81,6874.15,6968.87,7123.85,7127.9,6963.15,6978.43,6725.3,6965.13,6963.24,6857.34,7036.99,6958.23,6917.98,6673.49,6964.23,6673.5,6862.01,7053.53,6885.67,6968.58,7005.9
2025-04-10T01:27:00,6864.76,6969.11,6793.47,6776.81,7008.71,6940.13,7065.89,6946.76,6985.78,6793.26,7005.44,6711.3,6828.35,6853.62,6982.82,6971.22,6791.24,6925.48,6787.44,6760.11,6868.26,6756.34,6871.13,6813.84,6965.24,6820.6,6816.59,7020.1,7028.91,6873.7,6968.83,7123.21,7124.17,6962.99,6976.52,6724.36,6965.35,6962.8,6857.76,7036.59,6958.52,6916.92,6671.55,6962.8,6674.08,6861.22,7052.71,6886.21,6968.72,7005.7
