Timestamp,Camelina01 - Weight (g),Camelina02 - Weight (g),Camelina03 - Weight (g),Camelina05 - Weight (g),Camelina06 - Weight (g),Camelina07 - Weight (g),Camelina08 - Weight (g),Camelina09 - Weight (g),Camelina10 - Weight (g),Camelina11 - Weight (g),Camelina12 - Weight (g),Camelina13 - Weight (g),Camelina14 - Weight (g),Camelina15 - Weight (g),Camelina16 - Weight (g),Camelina18 - Weight (g),Camelina19 - Weight (g),Camelina20 - Weight (g),Camelina21 - Weight (g),Camelina22 - Weight (g),Camelina23 - Weight (g),Camelina24 - Weight (g),Camelina25 - Weight (g),Camelina26 - Weight (g),Camelina27 - Weight (g),Camelina28 - Weight (g),Camelina29 - Weight (g),Camelina30 - Weight (g),Camelina31 - Weight (g),Camelina32 - Weight (g),Camelina33 - Weight (g),Camelina34 - Weight (g),Camelina35 - Weight (g),Camelina36 - Weight (g),Camelina37 - Weight (g),Camelina38 - Weight (g),Camelina39 - Weight (g),Camelina40 - Weight (g),Camelina41 - Weight (g),Camelina42 - Weight (g),Camelina43 - Weight (g),Camelina44 - Weight (g),Camelina45 - Weight (g),Camelina46 - Weight (g),Camelina47 - Weight (g),Camelina48 - Weight (g),Camelina49 - Weight (g),Camelina50 - Weight (g)
2025-08-29T01:00:00,6930.04,6907.5,6924.39,6883.73,6963.99,6736.61,6908.22,6790.39,6965.48,6622.16,6996.02,6606.82,7005.85,6779.6,6983.47,6996.25,6983.03,6568.73,6772.81,7000.59,6784.15,6652.58,6706.25,6826.14,6843.15,6601.4,6987.54,6965.9,6926.37,6580.43,6823.72,6776.75,6809.24,6652.37,6984.77,6945.52,6992.73,6981.05,7046.5,6875.09,6778.73,6978.96,7020.81,6773.23,7055.04,6765.48,6558.97,6738.46
2025-08-29T01:03:00,6929.9,6907.68,6924.86,6883.53,6964.59,6737.32,6907.03,6789.33,6966.59,6622.29,6997.05,6606.04,7006.6,6780.14,6977.36,6996.07,6982.91,6566.57,6773.05,6998.49,6783.69,6653.39,6705.66,6827.14,6843.48,6601.21,6986.65,6966.42,6925.41,6583.01,6823.68,6776.05,6809.34,6651.6,6983.76,6945.01,6992.9,6981.42,7042.13,6872.75,6777.96,6977.03,7019.99,6774.64,7053.81,6764.98,6559.07,6739.07
2025-08-29T01:06:00,6929.81,6906.95,6924.06,6883.9,6964.14,6736.39,6907.17,6788.97,6965.27,6620.68,6995.42,6606.69,7008.8,6778.02,6976.43,6995.53,6983.42,6567.19,6771.53,6998.38,6783.31,6652.7,6705.47,6827.06,6842.1,6600.44,6986.56,6966.26,6925.51,6581.97,6823.67,6776.62,6810.02,6650.5,6983.69,6945.27,6990.82,6980.12,7041.66,6871.77,6777.32,6974.41,7018.38,6773.71,7054.09,6763.93,6558.08,6739.01
2025-08-29T01:09:00,6929.13,6908.21,6924,6883.49,6964.5,6736.6,6907.28,6786.79,6963.19,6620.63,6996.53,6604.84,7003.81,6777.7,6982.51,6994.82,6981.92,6566.07,6771.28,6998.27,6783.3,6653.01,6705.26,6826.17,6841.67,6600.68,6985.43,6965.81,6925.47,6578.36,6818.99,6776.18,6810.09,6650.2,6983.42,6944.19,6989.32,6979.35,7042.43,6870.71,6778.11,6974.3,7017.66,6771.37,7052.95,6763.21,6557.69,6737.83
2025-08-29T01:12:00,6930.54,6907.45,6923.24,6886.07,6964.94,6735.82,6909.72,6788.9,6963.83,6619.92,6995.88,6603.4,7005.68,6777.57,6983.23,6995.03,6983.07,6571.28,6770.48,6998.67,6783.85,6653.72,6703.41,6823.86,6840.1,6599.73,6985.56,6965.36,6925.43,6582.71,6818.7,6777.49,6807.96,6649.27,6982.47,6943.94,6989.54,6979.78,7041.18,6869.69,6773.7,6978.77,7017.04,6773.3,7052.66,6763.76,6557.75,6738
2025-08-29T01:15:00,6929.43,6907.34,6923.12,6882.62,6965.1,6734.37,6905.13,6786.44,6966.06,6619.62,6995.09,6604.65,7007.16,6775.49,6977.39,6994.28,6980.49,6568.08,6769.75,6997.16,6783.74,6650.45,6703.02,6824.71,6840.85,6601.04,6985.31,6966.07,6924.92,6578.47,6818.17,6775.7,6809.45,6649.06,6983.43,6944.05,6989.09,6979.78,7041.63,6868.03,6774.54,6974.62,7016.81,6773.22,7052.52,6763.61,6557.52,6737.78
2025-08-29T01:18:00,6929.02,6906.83,6922.69,6883.85,6963.67,6735,6906.51,6785.18,6963.75,6619.75,6995.06,6604.75,7005.4,6775.44,6979.27,6994.86,6979.96,6567.17,6770.32,6997.08,6783.53,6650.93,6703.21,6825.45,6841.05,6600.16,6986.04,6965.86,6925.98,6577.71,6818.83,6777.3,6809.29,6648.55,6982.74,6943.82,6989.64,6978.85,7040.88,6869.11,6774.85,6971.8,7015.58,6771.35,7053.28,6763.24,6556.27,6737.29
2025-08-29T01:21:00,6928.76,6906.34,6922.48,6881.38,6964.02,6734.21,6905.41,6785.75,6962.1,6618.22,6993.93,6604.27,7006.47,6774.61,6978.26,6994.44,6980.17,6567.49,6769.89,6996.66,6782.62,6649.84,6701.34,6825.22,6839.69,6599.5,6985.88,6965.46,6924.85,6574.65,6818.49,6775.67,6808.96,6647.85,6982.92,6943.54,6988.88,6977.04,7041.48,6870.12,6774.45,6971.85,7015.14,6772.72,7052.15,6762.65,6556.08,6737.42
2025-08-29T01:24:00,6926.74,6906.73,6923.18,6880.85,6963.6,6734.16,6905.1,6783.08,6960.7,6617.07,6995.52,6603.44,7001.3,6774.96,6984.63,6993.98,6980.92,6565.58,6770.85,6996.41,6784.29,6650.64,6702.08,6824.3,6838.67,6599.35,6984.92,6965.39,6924.2,6570.96,6818.56,6776.08,6808.14,6648.29,6982.62,6942.03,6988.07,6977.89,7041.95,6867.83,6774.44,6972.29,7014.98,6770.53,7051.18,6762.09,6555.98,6737.35
2025-08-29T01:27:00,6924.07,6905.77,6921.57,6884.37,6963.93,6734.36,6907.12,6783.98,6961.75,6618.08,6994.64,6602.47,7001.49,6773.95,6979.66,6993.16,6979.61,6563.16,6769.03,6996.22,6782.62,6649.94,6703.03,6825.04,6838.53,6599.38,6985.8,6965.12,6924.58,6575.38,6817.61,6775.57,6808.57,6650.05,6982.11,6942.68,6988.71,6977.39,7042.91,6868.48,6773.28,6973.33,7014,6771.66,7051.28,6762.61,6555.81,6737.43
